
SetupTitle, Id-Vds var const Vbgs
PrimitiveTest, Multi Channel I/V Sweep
DataValue, -1.5999999999999999, -0.000561112
DataValue, -1.5, -0.000538072
DataValue, -1.4, -0.000513806
DataValue, -1.3, -0.000488188
DataValue, -1.2, -0.000461039
DataValue, -1.0999999999999999, -0.00043227200000000004
DataValue, -1, -0.000401794
DataValue, -0.89999999999999991, -0.00036950700000000004
DataValue, -0.79999999999999993, -0.00033544
DataValue, -0.7, -0.000299513
DataValue, -0.6, -0.000261878
DataValue, -0.5, -0.000222427
DataValue, -0.39999999999999997, -0.00018123500000000002
DataValue, -0.3, -0.000138364
DataValue, -0.19999999999999998, -9.3891E-05
DataValue, -0.099999999999999992, -4.7860000000000006E-05
DataValue, 0, -3.44E-07
DataValue, 0.099999999999999992, 4.8606E-05
DataValue, 0.19999999999999998, 9.8944E-05
DataValue, 0.3, 0.000150647
DataValue, 0.39999999999999997, 0.000203567
DataValue, 0.5, 0.000257825
DataValue, 0.6, 0.00031354500000000003
DataValue, 0.7, 0.00037051300000000005
DataValue, 0.79999999999999993, 0.00042898000000000003
DataValue, 0.89999999999999991, 0.00048885
DataValue, 1, 0.000550321
DataValue, 1.0999999999999999, 0.000613558
DataValue, 1.2, 0.00067845300000000009
DataValue, 1.3, 0.00074506600000000007
DataValue, 1.4, 0.00081334800000000009
DataValue, 1.5, 0.00088329400000000007
DataValue, 1.5999999999999999, 0.000954932
DataValue, 1.7, 0.0010280760000000002
DataValue, 1.7999999999999998, 0.0011027
DataValue, 1.9, 0.00117902
DataValue, 2, 0.00125683
DataValue, 2.1, 0.0013361900000000001
DataValue, 2.2, 0.00141665
DataValue, 2.3000000000000003, 0.00149858
DataValue, 2.4000000000000004, 0.00158182
DataValue, 2.5, 0.00166669
DataValue, 2.6, 0.0017528
DataValue, 2.7, 0.00183983
DataValue, 2.8000000000000003, 0.00192834
DataValue, 2.9000000000000004, 0.0020178600000000002
DataValue, 3.0000000000000004, 0.00210867
DataValue, 3.1, 0.00220061
DataValue, 3.2, 0.0022933800000000002
DataValue, 3.3000000000000003, 0.00238745
DataValue, 3.4000000000000004, 0.00248292
DataValue, 3.5000000000000004, 0.0025791
DataValue, 3.6, 0.00267659
DataValue, 3.7, 0.00277487
DataValue, 3.8000000000000003, 0.0028743700000000002
DataValue, 3.9000000000000004, 0.0029744800000000003
DataValue, 4, 0.00307582
DataValue, 4.1000000000000005, 0.00317833
DataValue, 4.2, 0.0032815
DataValue, 4.3000000000000007, 0.00338545
DataValue, 4.4, 0.0034904000000000003
DataValue, 4.5, 0.00359652
DataValue, 4.6000000000000005, 0.0037032000000000002
DataValue, 4.7, 0.003811
DataValue, 4.8000000000000007, 0.00391968
DataValue, 4.9, 0.00402902
DataValue, 5, 0.00413942
DataValue, -5, -0.0014696800000000001
DataValue, -4.9, -0.00142731
DataValue, -4.8000000000000007, -0.00138573
DataValue, -4.7, -0.00134524
DataValue, -4.6000000000000005, -0.00130561
DataValue, -4.5, -0.00126671
DataValue, -4.4, -0.00122875
DataValue, -4.3000000000000007, -0.00119166
DataValue, -4.2, -0.00115553
DataValue, -4.1000000000000005, -0.00112045
DataValue, -4, -0.00108615
DataValue, -3.9000000000000004, -0.00105296
DataValue, -3.8000000000000003, -0.00102081
DataValue, -3.7, -0.00098952
DataValue, -3.6, -0.00095934
DataValue, -3.5000000000000004, -0.00092996
DataValue, -3.4000000000000004, -0.000901207
DataValue, -3.3000000000000003, -0.000873643
DataValue, -3.2, -0.000846769
DataValue, -3.1, -0.000820566
DataValue, -3.0000000000000004, -0.000795345
DataValue, -2.9000000000000004, -0.00077091700000000009
DataValue, -2.8000000000000003, -0.000747193
DataValue, -2.7, -0.00072417
DataValue, -2.6, -0.000701669
DataValue, -2.5, -0.00067988
DataValue, -2.4000000000000004, -0.000658492
DataValue, -2.3000000000000003, -0.00063762500000000006
DataValue, -2.2, -0.00061716100000000008
DataValue, -2.1, -0.00059708800000000007
DataValue, -2, -0.00057707200000000009
DataValue, -1.9, -0.000557154
DataValue, -1.7999999999999998, -0.000537217
DataValue, -1.7, -0.00051715700000000008
DataValue, -1.5999999999999999, -0.00049675
DataValue, -1.5, -0.000475917
DataValue, -1.4, -0.000454261
DataValue, -1.3, -0.00043183200000000005
DataValue, -1.2, -0.000408376
DataValue, -1.0999999999999999, -0.00038365100000000004
DataValue, -1, -0.00035749500000000005
DataValue, -0.89999999999999991, -0.00032988200000000004
DataValue, -0.79999999999999993, -0.000300583
DataValue, -0.7, -0.000269525
DataValue, -0.6, -0.000236638
DataValue, -0.5, -0.00020186700000000002
DataValue, -0.39999999999999997, -0.000165171
DataValue, -0.3, -0.000126661
DataValue, -0.19999999999999998, -8.6316E-05
DataValue, -0.099999999999999992, -4.4171E-05
DataValue, 0, -2.97E-07
DataValue, 0.099999999999999992, 4.5236000000000005E-05
DataValue, 0.19999999999999998, 9.239400000000001E-05
DataValue, 0.3, 0.000141123
DataValue, 0.39999999999999997, 0.00019131200000000001
DataValue, 0.5, 0.000242971
DataValue, 0.6, 0.00029603800000000004
DataValue, 0.7, 0.00035050900000000004
DataValue, 0.79999999999999993, 0.00040635700000000004
DataValue, 0.89999999999999991, 0.00046362700000000004
DataValue, 1, 0.00052243
DataValue, 1.0999999999999999, 0.000582809
DataValue, 1.2, 0.00064466200000000006
DataValue, 1.3, 0.000708384
DataValue, 1.4, 0.00077356800000000009
DataValue, 1.5, 0.00084055300000000007
DataValue, 1.5999999999999999, 0.000909167
DataValue, 1.7, 0.000979344
DataValue, 1.7999999999999998, 0.00105061
DataValue, 1.9, 0.00112433
DataValue, 2, 0.00119937
DataValue, 2.1, 0.00127577
DataValue, 2.2, 0.00135345
DataValue, 2.3000000000000003, 0.00143267
DataValue, 2.4000000000000004, 0.00151317
DataValue, 2.5, 0.00159497
DataValue, 2.6, 0.00167784
DataValue, 2.7, 0.00176237
DataValue, 2.8000000000000003, 0.00184823
DataValue, 2.9000000000000004, 0.001935
DataValue, 3.0000000000000004, 0.00202282
DataValue, 3.1, 0.00211224
DataValue, 3.2, 0.00220253
DataValue, 3.3000000000000003, 0.00229395
DataValue, 3.4000000000000004, 0.00238655
DataValue, 3.5000000000000004, 0.00247997
DataValue, 3.6, 0.0025746700000000003
DataValue, 3.7, 0.00267036
DataValue, 3.8000000000000003, 0.00276691
DataValue, 3.9000000000000004, 0.00286452
DataValue, 4, 0.00296352
DataValue, 4.1000000000000005, 0.0030629200000000002
DataValue, 4.2, 0.00316335
DataValue, 4.3000000000000007, 0.00326484
DataValue, 4.4, 0.00336729
DataValue, 4.5, 0.0034703
DataValue, 4.6000000000000005, 0.00357448
DataValue, 4.7, 0.00367921
DataValue, 4.8000000000000007, 0.0037849100000000003
DataValue, 4.9, 0.00389133
DataValue, 5, 0.00399916
DataValue, -5, -0.00150183
DataValue, -4.9, -0.00145727
DataValue, -4.8000000000000007, -0.00141319
DataValue, -4.7, -0.00136983
DataValue, -4.6000000000000005, -0.00132716
DataValue, -4.5, -0.00128534
DataValue, -4.4, -0.00124405
DataValue, -4.3000000000000007, -0.0012035
DataValue, -4.2, -0.00116372
DataValue, -4.1000000000000005, -0.00112488
DataValue, -4, -0.00108683
DataValue, -3.9000000000000004, -0.00104981
DataValue, -3.8000000000000003, -0.00101377
DataValue, -3.7, -0.00097863
DataValue, -3.6, -0.00094458
DataValue, -3.5000000000000004, -0.00091144
DataValue, -3.4000000000000004, -0.000879179
DataValue, -3.3000000000000003, -0.000847995
DataValue, -3.2, -0.00081796200000000009
DataValue, -3.1, -0.000788886
DataValue, -3.0000000000000004, -0.000760777
DataValue, -2.9000000000000004, -0.000733617
DataValue, -2.8000000000000003, -0.000707437
DataValue, -2.7, -0.00068214900000000006
DataValue, -2.6, -0.00065767800000000008
DataValue, -2.5, -0.000634029
DataValue, -2.4000000000000004, -0.000611091
DataValue, -2.3000000000000003, -0.00058880500000000008
DataValue, -2.2, -0.000566926
DataValue, -2.1, -0.00054555400000000007
DataValue, -2, -0.00052473700000000005
DataValue, -1.9, -0.000504302
DataValue, -1.7999999999999998, -0.00048403100000000006
DataValue, -1.7, -0.00046377900000000005
DataValue, -1.5999999999999999, -0.000443577
DataValue, -1.5, -0.00042317
DataValue, -1.4, -0.000402509
DataValue, -1.3, -0.000381438
DataValue, -1.2, -0.00035982200000000004
DataValue, -1.0999999999999999, -0.00033748700000000003
DataValue, -1, -0.00031421300000000004
DataValue, -0.89999999999999991, -0.000289912
DataValue, -0.79999999999999993, -0.00026437
DataValue, -0.7, -0.000237433
DataValue, -0.6, -0.00020895400000000002
DataValue, -0.5, -0.00017878000000000002
DataValue, -0.39999999999999997, -0.00014682400000000002
DataValue, -0.3, -0.00011301800000000001
DataValue, -0.19999999999999998, -7.731900000000001E-05
DataValue, -0.099999999999999992, -3.9752E-05
DataValue, 0, -2.8100000000000004E-07
DataValue, 0.099999999999999992, 4.1033000000000005E-05
DataValue, 0.19999999999999998, 8.414900000000001E-05
DataValue, 0.3, 0.00012901700000000002
DataValue, 0.39999999999999997, 0.000175598
DataValue, 0.5, 0.000223823
DataValue, 0.6, 0.00027362400000000004
DataValue, 0.7, 0.000324898
DataValue, 0.79999999999999993, 0.000377792
DataValue, 0.89999999999999991, 0.00043202800000000005
DataValue, 1, 0.00048777000000000005
DataValue, 1.0999999999999999, 0.00054504400000000006
DataValue, 1.2, 0.000604013
DataValue, 1.3, 0.00066437700000000007
DataValue, 1.4, 0.000726553
DataValue, 1.5, 0.00079024600000000009
DataValue, 1.5999999999999999, 0.0008557520000000001
DataValue, 1.7, 0.00092271700000000009
DataValue, 1.7999999999999998, 0.000991437
DataValue, 1.9, 0.00106121
DataValue, 2, 0.00113331
DataValue, 2.1, 0.00120663
DataValue, 2.2, 0.00128157
DataValue, 2.3000000000000003, 0.00135753
DataValue, 2.4000000000000004, 0.0014353
DataValue, 2.5, 0.0015141500000000001
DataValue, 2.6, 0.00159432
DataValue, 2.7, 0.00167546
DataValue, 2.8000000000000003, 0.00175782
DataValue, 2.9000000000000004, 0.00184173
DataValue, 3.0000000000000004, 0.0019264500000000001
DataValue, 3.1, 0.00201214
DataValue, 3.2, 0.00209973
DataValue, 3.3000000000000003, 0.0021881500000000003
DataValue, 3.4000000000000004, 0.00227789
DataValue, 3.5000000000000004, 0.00236853
DataValue, 3.6, 0.00246029
DataValue, 3.7, 0.00255293
DataValue, 3.8000000000000003, 0.0026467
DataValue, 3.9000000000000004, 0.00274176
DataValue, 4, 0.0028377100000000002
DataValue, 4.1000000000000005, 0.00293458
DataValue, 4.2, 0.00303194
DataValue, 4.3000000000000007, 0.00313035
DataValue, 4.4, 0.00323009
DataValue, 4.5, 0.0033308400000000003
DataValue, 4.6000000000000005, 0.00343219
DataValue, 4.7, 0.00353431
DataValue, 4.8000000000000007, 0.00363763
DataValue, 4.9, 0.0037416
DataValue, 5, 0.0038457
DataValue, -5, -0.00156414
DataValue, -4.9, -0.00151744
DataValue, -4.8000000000000007, -0.00147093
DataValue, -4.7, -0.00142512
DataValue, -4.6000000000000005, -0.0013798
DataValue, -4.5, -0.0013348400000000001
DataValue, -4.4, -0.00129038
DataValue, -4.3000000000000007, -0.00124662
DataValue, -4.2, -0.0012034300000000001
DataValue, -4.1000000000000005, -0.00116101
DataValue, -4, -0.00111946
DataValue, -3.9000000000000004, -0.00107859
DataValue, -3.8000000000000003, -0.00103861
DataValue, -3.7, -0.00099951000000000011
DataValue, -3.6, -0.00096144
DataValue, -3.5000000000000004, -0.00092436
DataValue, -3.4000000000000004, -0.00088805300000000008
DataValue, -3.3000000000000003, -0.000852814
DataValue, -3.2, -0.00081897300000000008
DataValue, -3.1, -0.000786159
DataValue, -3.0000000000000004, -0.00075451400000000007
DataValue, -2.9000000000000004, -0.00072392000000000008
DataValue, -2.8000000000000003, -0.000694398
DataValue, -2.7, -0.00066596000000000005
DataValue, -2.6, -0.00063852000000000006
DataValue, -2.5, -0.00061207100000000006
DataValue, -2.4000000000000004, -0.00058655
DataValue, -2.3000000000000003, -0.00056187
DataValue, -2.2, -0.000538032
DataValue, -2.1, -0.00051495900000000005
DataValue, -2, -0.000492577
DataValue, -1.9, -0.000470773
DataValue, -1.7999999999999998, -0.000449495
DataValue, -1.7, -0.00042862900000000003
DataValue, -1.5999999999999999, -0.00040803300000000003
DataValue, -1.5, -0.00038765100000000003
DataValue, -1.4, -0.00036730400000000005
DataValue, -1.3, -0.00034682200000000005
DataValue, -1.2, -0.000326082
DataValue, -1.0999999999999999, -0.00030486500000000003
DataValue, -1, -0.000283122
DataValue, -0.89999999999999991, -0.000260749
DataValue, -0.79999999999999993, -0.000237473
DataValue, -0.7, -0.000213054
DataValue, -0.6, -0.000187409
DataValue, -0.5, -0.00016035300000000002
DataValue, -0.39999999999999997, -0.00013177300000000001
DataValue, -0.3, -0.000101538
DataValue, -0.19999999999999998, -6.9589E-05
DataValue, -0.099999999999999992, -3.5841000000000005E-05
DataValue, 0, -2.63E-07
DataValue, 0.099999999999999992, 3.7164000000000005E-05
DataValue, 0.19999999999999998, 7.639800000000001E-05
DataValue, 0.3, 0.000117459
DataValue, 0.39999999999999997, 0.000160261
DataValue, 0.5, 0.000204837
DataValue, 0.6, 0.00025112
DataValue, 0.7, 0.00029899500000000003
DataValue, 0.79999999999999993, 0.000348504
DataValue, 0.89999999999999991, 0.00039954400000000005
DataValue, 1, 0.00045202100000000004
DataValue, 1.0999999999999999, 0.000506102
DataValue, 1.2, 0.000561649
DataValue, 1.3, 0.000618797
DataValue, 1.4, 0.000677531
DataValue, 1.5, 0.0007377760000000001
DataValue, 1.5999999999999999, 0.000799806
DataValue, 1.7, 0.000863082
DataValue, 1.7999999999999998, 0.0009282330000000001
DataValue, 1.9, 0.000995196
DataValue, 2, 0.00106307
DataValue, 2.1, 0.00113334
DataValue, 2.2, 0.00120486
DataValue, 2.3000000000000003, 0.00127774
DataValue, 2.4000000000000004, 0.00135194
DataValue, 2.5, 0.00142749
DataValue, 2.6, 0.00150439
DataValue, 2.7, 0.00158245
DataValue, 2.8000000000000003, 0.00166211
DataValue, 2.9000000000000004, 0.00174274
DataValue, 3.0000000000000004, 0.00182466
DataValue, 3.1, 0.00190773
DataValue, 3.2, 0.00199199
DataValue, 3.3000000000000003, 0.00207728
DataValue, 3.4000000000000004, 0.00216379
DataValue, 3.5000000000000004, 0.00225143
DataValue, 3.6, 0.0023399000000000002
DataValue, 3.7, 0.00242968
DataValue, 3.8000000000000003, 0.00252044
DataValue, 3.9000000000000004, 0.0026122800000000002
DataValue, 4, 0.00270522
DataValue, 4.1000000000000005, 0.00279896
DataValue, 4.2, 0.00289395
DataValue, 4.3000000000000007, 0.0029895300000000002
DataValue, 4.4, 0.00308642
DataValue, 4.5, 0.00318396
DataValue, 4.6000000000000005, 0.00328256
DataValue, 4.7, 0.00338176
DataValue, 4.8000000000000007, 0.0034821
DataValue, 4.9, 0.0035833600000000003
DataValue, 5, 0.00368492
DataValue, -5, -0.00164905
DataValue, -4.9, -0.00159939
DataValue, -4.8000000000000007, -0.00154983
DataValue, -4.7, -0.00150096
DataValue, -4.6000000000000005, -0.0014524800000000001
DataValue, -4.5, -0.00140423
DataValue, -4.4, -0.00135661
DataValue, -4.3000000000000007, -0.00130952
DataValue, -4.2, -0.00126292
DataValue, -4.1000000000000005, -0.00121704
DataValue, -4, -0.00117188
DataValue, -3.9000000000000004, -0.00112747
DataValue, -3.8000000000000003, -0.00108377
DataValue, -3.7, -0.00104087
DataValue, -3.6, -0.00099899
DataValue, -3.5000000000000004, -0.00095798
DataValue, -3.4000000000000004, -0.00091791
DataValue, -3.3000000000000003, -0.000878609
DataValue, -3.2, -0.00084058000000000006
DataValue, -3.1, -0.00080369400000000009
DataValue, -3.0000000000000004, -0.00076807
DataValue, -2.9000000000000004, -0.0007335410000000001
DataValue, -2.8000000000000003, -0.000700162
DataValue, -2.7, -0.000667994
DataValue, -2.6, -0.00063694
DataValue, -2.5, -0.000607112
DataValue, -2.4000000000000004, -0.00057829700000000008
DataValue, -2.3000000000000003, -0.000550545
DataValue, -2.2, -0.00052387800000000008
DataValue, -2.1, -0.000498129
DataValue, -2, -0.00047340800000000003
DataValue, -1.9, -0.00044943500000000004
DataValue, -1.7999999999999998, -0.00042634300000000003
DataValue, -1.7, -0.00040384000000000004
DataValue, -1.5999999999999999, -0.000381914
DataValue, -1.5, -0.000360505
DataValue, -1.4, -0.000339506
DataValue, -1.3, -0.000318731
DataValue, -1.2, -0.000298116
DataValue, -1.0999999999999999, -0.000277475
DataValue, -1, -0.00025670200000000004
DataValue, -0.89999999999999991, -0.000235569
DataValue, -0.79999999999999993, -0.00021390700000000002
DataValue, -0.7, -0.00019158100000000002
DataValue, -0.6, -0.00016837000000000002
DataValue, -0.5, -0.000144079
DataValue, -0.39999999999999997, -0.00011850300000000001
DataValue, -0.3, -9.1468E-05
DataValue, -0.19999999999999998, -6.2792E-05
DataValue, -0.099999999999999992, -3.2402E-05
DataValue, 0, -2.2900000000000003E-07
DataValue, 0.099999999999999992, 3.3799E-05
DataValue, 0.19999999999999998, 6.9698000000000009E-05
DataValue, 0.3, 0.00010746
DataValue, 0.39999999999999997, 0.000147014
DataValue, 0.5, 0.000188387
DataValue, 0.6, 0.000231529
DataValue, 0.7, 0.00027646400000000003
DataValue, 0.79999999999999993, 0.00032299200000000003
DataValue, 0.89999999999999991, 0.00037108700000000003
DataValue, 1, 0.000420819
DataValue, 1.0999999999999999, 0.000472006
DataValue, 1.2, 0.000524479
DataValue, 1.3, 0.000578501
DataValue, 1.4, 0.00063416800000000006
DataValue, 1.5, 0.000691167
DataValue, 1.5999999999999999, 0.00074993600000000009
DataValue, 1.7, 0.00081023
DataValue, 1.7999999999999998, 0.00087200800000000007
DataValue, 1.9, 0.000935148
DataValue, 2, 0.0010000550000000001
DataValue, 2.1, 0.00106604
DataValue, 2.2, 0.00113422
DataValue, 2.3000000000000003, 0.00120388
DataValue, 2.4000000000000004, 0.00127491
DataValue, 2.5, 0.0013469600000000001
DataValue, 2.6, 0.00142042
DataValue, 2.7, 0.0014952000000000001
DataValue, 2.8000000000000003, 0.00157142
DataValue, 2.9000000000000004, 0.00164854
DataValue, 3.0000000000000004, 0.00172716
DataValue, 3.1, 0.0018073100000000001
DataValue, 3.2, 0.0018882200000000001
DataValue, 3.3000000000000003, 0.00197024
DataValue, 3.4000000000000004, 0.00205352
DataValue, 3.5000000000000004, 0.00213788
DataValue, 3.6, 0.00222298
DataValue, 3.7, 0.00230942
DataValue, 3.8000000000000003, 0.00239701
DataValue, 3.9000000000000004, 0.00248586
DataValue, 4, 0.00257535
DataValue, 4.1000000000000005, 0.00266614
DataValue, 4.2, 0.0027570200000000002
DataValue, 4.3000000000000007, 0.00284953
DataValue, 4.4, 0.00294269
DataValue, 4.5, 0.00303715
DataValue, 4.6000000000000005, 0.0031326
DataValue, 4.7, 0.0032284
DataValue, 4.8000000000000007, 0.00332543
DataValue, 4.9, 0.0034233
DataValue, 5, 0.0035217
DataValue, -5, -0.00175811
DataValue, -4.9, -0.00170454
DataValue, -4.8000000000000007, -0.00165131
DataValue, -4.7, -0.0015985
DataValue, -4.6000000000000005, -0.00154616
DataValue, -4.5, -0.00149417
DataValue, -4.4, -0.00144239
DataValue, -4.3000000000000007, -0.0013915
DataValue, -4.2, -0.00134118
DataValue, -4.1000000000000005, -0.0012915000000000001
DataValue, -4, -0.0012425000000000001
DataValue, -3.9000000000000004, -0.0011942300000000001
DataValue, -3.8000000000000003, -0.00114674
DataValue, -3.7, -0.00110008
DataValue, -3.6, -0.00105437
DataValue, -3.5000000000000004, -0.00100948
DataValue, -3.4000000000000004, -0.00096552
DataValue, -3.3000000000000003, -0.00092258
DataValue, -3.2, -0.00088018300000000009
DataValue, -3.1, -0.000839229
DataValue, -3.0000000000000004, -0.00079950000000000008
DataValue, -2.9000000000000004, -0.000760818
DataValue, -2.8000000000000003, -0.00072331500000000009
DataValue, -2.7, -0.00068704700000000009
DataValue, -2.6, -0.00065192000000000006
DataValue, -2.5, -0.00061798000000000007
DataValue, -2.4000000000000004, -0.00058525900000000008
DataValue, -2.3000000000000003, -0.000553795
DataValue, -2.2, -0.000523524
DataValue, -2.1, -0.000494401
DataValue, -2, -0.00046642000000000005
DataValue, -1.9, -0.000439628
DataValue, -1.7999999999999998, -0.00041382200000000005
DataValue, -1.7, -0.000388945
DataValue, -1.5999999999999999, -0.000364967
DataValue, -1.5, -0.00034174300000000004
DataValue, -1.4, -0.000319201
DataValue, -1.3, -0.000297299
DataValue, -1.2, -0.00027583400000000003
DataValue, -1.0999999999999999, -0.000254701
DataValue, -1, -0.00023374000000000002
DataValue, -0.89999999999999991, -0.000212918
DataValue, -0.79999999999999993, -0.00019198900000000002
DataValue, -0.7, -0.00017085400000000002
DataValue, -0.6, -0.00014930800000000001
DataValue, -0.5, -0.000127169
DataValue, -0.39999999999999997, -0.000104221
DataValue, -0.3, -8.0254000000000008E-05
DataValue, -0.19999999999999998, -5.5073000000000006E-05
DataValue, -0.099999999999999992, -2.8459000000000003E-05
DataValue, 0, -2.2E-07
DataValue, 0.099999999999999992, 2.9795000000000002E-05
DataValue, 0.19999999999999998, 6.1661E-05
DataValue, 0.3, 9.5494E-05
DataValue, 0.39999999999999997, 0.00013132900000000002
DataValue, 0.5, 0.000169184
DataValue, 0.6, 0.000208979
DataValue, 0.7, 0.000250692
DataValue, 0.79999999999999993, 0.000294226
DataValue, 0.89999999999999991, 0.00033942300000000005
DataValue, 1, 0.000386393
DataValue, 1.0999999999999999, 0.000435014
DataValue, 1.2, 0.000485155
DataValue, 1.3, 0.000536807
DataValue, 1.4, 0.00058985
DataValue, 1.5, 0.00064439500000000008
DataValue, 1.5999999999999999, 0.000700339
DataValue, 1.7, 0.000757769
DataValue, 1.7999999999999998, 0.0008166610000000001
DataValue, 1.9, 0.000877226
DataValue, 2, 0.00093891
DataValue, 2.1, 0.0010022610000000002
DataValue, 2.2, 0.00106668
DataValue, 2.3000000000000003, 0.00113301
DataValue, 2.4000000000000004, 0.0012006
DataValue, 2.5, 0.00126963
DataValue, 2.6, 0.00133953
DataValue, 2.7, 0.0014111
DataValue, 2.8000000000000003, 0.00148404
DataValue, 2.9000000000000004, 0.00155812
DataValue, 3.0000000000000004, 0.0016335100000000001
DataValue, 3.1, 0.00170998
DataValue, 3.2, 0.00178771
DataValue, 3.3000000000000003, 0.00186661
DataValue, 3.4000000000000004, 0.00194645
DataValue, 3.5000000000000004, 0.00202741
DataValue, 3.6, 0.00210979
DataValue, 3.7, 0.00219321
DataValue, 3.8000000000000003, 0.00227744
DataValue, 3.9000000000000004, 0.00236311
DataValue, 4, 0.00244947
DataValue, 4.1000000000000005, 0.00253696
DataValue, 4.2, 0.00262574
DataValue, 4.3000000000000007, 0.00271515
DataValue, 4.4, 0.00280555
DataValue, 4.5, 0.00289724
DataValue, 4.6000000000000005, 0.0029895300000000002
DataValue, 4.7, 0.00308247
DataValue, 4.8000000000000007, 0.00317644
DataValue, 4.9, 0.0032711
DataValue, 5, 0.00336673
DataValue, -5, -0.0018956
DataValue, -4.9, -0.00183779
DataValue, -4.8000000000000007, -0.00177994
DataValue, -4.7, -0.0017229300000000001
DataValue, -4.6000000000000005, -0.00166602
DataValue, -4.5, -0.00160962
DataValue, -4.4, -0.0015537
DataValue, -4.3000000000000007, -0.00149844
DataValue, -4.2, -0.0014437
DataValue, -4.1000000000000005, -0.0013896
DataValue, -4, -0.00133631
DataValue, -3.9000000000000004, -0.00128387
DataValue, -3.8000000000000003, -0.0012322400000000001
DataValue, -3.7, -0.00118132
DataValue, -3.6, -0.00113135
DataValue, -3.5000000000000004, -0.00108231
DataValue, -3.4000000000000004, -0.001034
DataValue, -3.3000000000000003, -0.00098693
DataValue, -3.2, -0.00094096
DataValue, -3.1, -0.000895535
DataValue, -3.0000000000000004, -0.000851569
DataValue, -2.9000000000000004, -0.00080885100000000008
DataValue, -2.8000000000000003, -0.000767291
DataValue, -2.7, -0.000726788
DataValue, -2.6, -0.000687436
DataValue, -2.5, -0.00064926900000000006
DataValue, -2.4000000000000004, -0.000612301
DataValue, -2.3000000000000003, -0.000576634
DataValue, -2.2, -0.000542182
DataValue, -2.1, -0.00050900300000000006
DataValue, -2, -0.000477101
DataValue, -1.9, -0.000446507
DataValue, -1.7999999999999998, -0.000417146
DataValue, -1.7, -0.00038900100000000004
DataValue, -1.5999999999999999, -0.000361973
DataValue, -1.5, -0.000336009
DataValue, -1.4, -0.000311078
DataValue, -1.3, -0.000287063
DataValue, -1.2, -0.000263842
DataValue, -1.0999999999999999, -0.00024133300000000002
DataValue, -1, -0.00021941400000000002
DataValue, -0.89999999999999991, -0.000197967
DataValue, -0.79999999999999993, -0.000176822
DataValue, -0.7, -0.00015584300000000002
DataValue, -0.6, -0.00013493200000000002
DataValue, -0.5, -0.00011387
DataValue, -0.39999999999999997, -9.2494E-05
DataValue, -0.3, -7.0651E-05
DataValue, -0.19999999999999998, -4.8131000000000004E-05
DataValue, -0.099999999999999992, -2.4731E-05
DataValue, 0, -1.89E-07
DataValue, 0.099999999999999992, 2.5675E-05
DataValue, 0.19999999999999998, 5.3079000000000005E-05
DataValue, 0.3, 8.2179E-05
DataValue, 0.39999999999999997, 0.00011313500000000001
DataValue, 0.5, 0.000146086
DataValue, 0.6, 0.00018105400000000002
DataValue, 0.7, 0.00021809300000000001
DataValue, 0.79999999999999993, 0.00025722
DataValue, 0.89999999999999991, 0.00029838600000000004
DataValue, 1, 0.00034154000000000004
DataValue, 1.0999999999999999, 0.000386652
DataValue, 1.2, 0.00043359500000000005
DataValue, 1.3, 0.000482266
DataValue, 1.4, 0.00053264900000000006
DataValue, 1.5, 0.000584656
DataValue, 1.5999999999999999, 0.00063833400000000006
DataValue, 1.7, 0.000693508
DataValue, 1.7999999999999998, 0.000750084
DataValue, 1.9, 0.0008081360000000001
DataValue, 2, 0.00086773800000000006
DataValue, 2.1, 0.000928958
DataValue, 2.2, 0.000991569
DataValue, 2.3000000000000003, 0.00105481
DataValue, 2.4000000000000004, 0.00112024
DataValue, 2.5, 0.0011867100000000001
DataValue, 2.6, 0.0012545100000000001
DataValue, 2.7, 0.00132343
DataValue, 2.8000000000000003, 0.0013933700000000001
DataValue, 2.9000000000000004, 0.00146473
DataValue, 3.0000000000000004, 0.00153728
DataValue, 3.1, 0.00161065
DataValue, 3.2, 0.0016849200000000001
DataValue, 3.3000000000000003, 0.0017606100000000001
DataValue, 3.4000000000000004, 0.00183708
DataValue, 3.5000000000000004, 0.00191475
DataValue, 3.6, 0.00199382
DataValue, 3.7, 0.0020737200000000003
DataValue, 3.8000000000000003, 0.00215498
DataValue, 3.9000000000000004, 0.00223718
DataValue, 4, 0.00232031
DataValue, 4.1000000000000005, 0.00240463
DataValue, 4.2, 0.00248972
DataValue, 4.3000000000000007, 0.0025759100000000003
DataValue, 4.4, 0.002663
DataValue, 4.5, 0.00275114
DataValue, 4.6000000000000005, 0.00284033
DataValue, 4.7, 0.0029297
DataValue, 4.8000000000000007, 0.00302038
DataValue, 4.9, 0.0031122800000000003
DataValue, 5, 0.00320439
DataValue, -5, -0.00205982
DataValue, -4.9, -0.00199776
DataValue, -4.8000000000000007, -0.0019357200000000002
DataValue, -4.7, -0.00187426
DataValue, -4.6000000000000005, -0.0018129700000000001
DataValue, -4.5, -0.00175218
DataValue, -4.4, -0.00169166
DataValue, -4.3000000000000007, -0.00163178
DataValue, -4.2, -0.00157251
DataValue, -4.1000000000000005, -0.00151391
DataValue, -4, -0.00145631
DataValue, -3.9000000000000004, -0.00139922
DataValue, -3.8000000000000003, -0.00134304
DataValue, -3.7, -0.0012876300000000001
DataValue, -3.6, -0.00123322
DataValue, -3.5000000000000004, -0.00117914
